Французская булка,250
Луковый,280
Тартин,250
Морковь/лен,280
Пармезан/грецкие орехи,490
Кнурцель,310
Бородинский,250
Лапландия,250
Фитнес,280
Финский,300
Бриошь,480
Завиванец/мак,600
